用例标题,前置条件,测试步骤,预期结果,优先级,测试结果
碎股（只支持仅盘中订单） - 非交易时间,非交易时间,碎股单下单买入或者卖出,未清算允许下单，交易日正确（如周末下单，交易日是下周一）,P1,
碎股- 正常交易日 -夜盘时间-限价单下单成功,正常交易日（美股交易日历） - 夜盘交易时间 ：昨日20:00:00-当日04:00:00（美东时间）,碎股单限价单下单买入或者卖出,未清算，限价单下单成功（预埋单），交易日是T日,P1,
碎股- 正常交易日 -夜盘时间-市价下单失败,正常交易日（美股交易日历） - 夜盘交易 ：昨日20:00:00-当日04:00:00（美东时间）,碎股单市价单下单买入或者卖出,市价单下单失败,P1,
碎股- 正常交易日- 盘前交易时间-限价单下单成功,正常交易日（美股交易日历） - 盘前交易 ：当日04:00:00-当日09:30:00（美东时间）,碎股单限价下单买入或者卖出,未清算，限价单下单成功（预埋单），交易日是T日,P1,
碎股- 正常交易日 盘前交易时间-市价单下单失败,正常交易日（美股交易日历） - 盘前交易 ：当日04:00:00-当日09:30:00（美东时间）,碎股单市价下单买入或者卖出,市价单下单失败,P1,
碎股- 正常交易日 交易中 -下单成功,正常交易日（美股交易日历） - 交易中 ：当日9:30:00-当日16:00:00（美东时间）,碎股单下单买入或者卖出,未清算，限价单、市价单下单成功（直接报盘），交易日是T日,P1,
碎股- 正常交易日 盘后交易时间-限价单下单成功,正常交易日（美股交易日历） - 盘后交易 ：当日16:00:00-当日20:00:00（美东时间）,碎股单限价单下单买入或者卖出,未清算，限价单下单成功（预埋单），交易日是T+1日,P1,
碎股- 正常交易日 盘后交易时间-市价单下单失败,正常交易日（美股交易日历） - 盘后交易 ：当日16:00:00-当日20:00:00（美东时间）,碎股单下单买入或者卖出,市价单下单失败,P1,
碎股半日市 - 夜盘交易时间-限价单下单成功,半日市（美股交易日历） - 夜盘交易 ：20:00:00-04:00:00（美东时间）,碎股单下单买入或者卖出,未清算，限价单下单成功（预埋单），交易日是T日,P1,
碎股半日市 - 夜盘交易 时间-市价单下单失败,半日市（美股交易日历） - 夜盘交易 ：20:00:00-04:00:00（美东时间）,碎股单下单买入或者卖出,市价单下单失败,P1,
碎股半日市 - 盘前交易时间 -限价单下单成功,半日市（美股交易日历） - 盘前交易 ：04:00:00-09:30:00（美东时间）,碎股单下单买入或者卖出,未清算，限价单下单成功（预埋单），交易日是T日,P1,
碎股半日市 - 盘前交易时间 -市价单下单失败,半日市（美股交易日历） - 盘前交易 ：04:00:00-09:30:00（美东时间）,碎股单下单买入或者卖出,市价单下单失败,P1,
碎股半日市 - 交易中-限价单、市价单下单成功,半日市（美股交易日历） - 交易中 ：09:30:00-13:00:00（美东时间）,碎股单下单买入或者卖出,未清算，限价单、市价单下单成功（直接报盘），交易日是T日,P1,
碎股半日市 - 盘后交易时间-限价单下单成功,半日市（美股交易日历） - 盘后交易 ：13:00:00-17:00:00（美东时间）,碎股单下单买入或者卖出,未清算，限价单下单成功（预埋单），交易日是T+1日,P1,
碎股半日市 - 盘后交易时间-市价单下单失败,半日市（美股交易日历） - 盘后交易 ：13:00:00-17:00:00（美东时间）,碎股单下单买入或者卖出,市价单下单失败,P1,
碎股 - T-1日未清算 - 收市撤单,T-1日未清算 - 收市撤单,碎股单下单买入或者卖出,普通订单收市撤单成功,P1,
美股整股 - 非交易时间,非交易时间,美股整股单下单,未清算允许下单，交易日正确（如周末下单，交易日是下周一）,P1,
美股整股 - 正常交易日 - 夜盘下单成功,正常交易日（美股交易日历） - 夜盘交易 ：昨日20:00:00-当日04:00:00（美东时间）,美股整股单夜盘下单,未清算，限价单- 夜盘下单成功（报盘），交易日是T日,P1,
美股整股 - 正常交易日 - 限价单-仅盘中下单成功,正常交易日（美股交易日历） - 夜盘交易 ：昨日20:00:00-当日04:00:00（美东时间）,美股整股单限价单-仅盘中下单,未清算，限价单-仅盘中下单成功（预埋单），交易日是T日,P1,
美股整股 - 正常交易日-夜盘时间 - 市价单下单失败,正常交易日（美股交易日历） - 夜盘交易 ：昨日20:00:00-当日04:00:00（美东时间）,美股整股单市价单下单,市价单下单失败,P1,
美股整股 - 正常交易日 - 夜盘时间-限价单-允许盘前盘后 下单失败,正常交易日（美股交易日历） - 夜盘交易 ：昨日20:00:00-当日04:00:00（美东时间）,美股整股单下单,限价单-允许盘前盘后 下单失败,P1,
美股整股 - 正常交易日 - 盘前交易时间-限价单-仅盘中下单成功,正常交易日（美股交易日历） - 盘前交易 ：当日04:00:00-当日09:30:00（美东时间）,美股整股单限价单-仅盘中下单,未清算，限价单-仅盘中下单成功（预埋单），交易日是T日,P1,
